codIBGE,municipio,ano,UF,expecvida,AmpT,Tmax,Tmin,homicidios,mortinf,acidtrans,renda_pc,indgini,razao_renda,IDHM,lnexpecvida,lnAmpT,lnTmax,lnTmin,lnrenda_pc,d1990,d2000,d2010,regiao
1501451,Belterra,2000,PA,65.36,9.7,31.4,21.7,0,43.48,NA,121.84,0.64,45.71,396,4.17991045055175,2.27212588550934,3.44680789291421,3.07731226054641,4.80270870858691,0,1,0,Norte
1501451,Belterra,2010,PA,71.51,11.1,33.3,22.2,0,22.5,29.92,241.57,0.58,25.37,588,4.2698373000603,2.40694510831829,3.5055573969864,3.10009228887823,5.48715928616522,0,0,1,Norte
1501808,Breves,1990,PA,62.38,NA,NA,NA,1.38,55.69,2.77,146.19,0.53,14.16,432,4.13324471117966,NA,NA,NA,4.98490714552352,1,0,0,Norte
1501808,Breves,2000,PA,67.34,10.4,32.9,22.5,3.64,36.34,7.34,170.14,0.58,20.61,372,4.20975441373293,2.34180580614733,3.49347265777133,3.11351530921037,5.13662162754774,0,1,0,Norte
1501808,Breves,2010,PA,71.65,11.1,34.1,23,10.52,22.2,4.41,209.14,0.58,22.38,503,4.27179315427418,2.40694510831829,3.52929738428947,3.13549421592915,5.34300388417044,0,0,1,Norte
1502103,Cametá,1990,PA,65.15,NA,NA,21,3.52,50.31,3.52,118.89,0.5,12.4,489,4.17669230357085,NA,NA,3.04452243772342,4.77819869587045,1,0,0,Norte
1502103,Cametá,2000,PA,67.29,11,34,23,0,36.52,1.98,138.85,0.6,24.28,432,4.20901163720023,2.39789527279837,3.52636052461616,3.13549421592915,4.93339421375281,0,1,0,Norte
1502103,Cametá,2010,PA,70.21,10.9,34.6,23.7,7.27,26.2,3.9,226.99,0.58,22.65,577,4.25149075102916,2.3887627892351,3.54385368206368,3.16547504814109,5.42490596364761,0,0,1,Norte
1502707,Conceição do Araguaia,1990,PA,63.36,16.4,35.9,19.5,10.92,51.64,1.82,219.78,0.53,15.08,504,4.14883274750617,2.79728133483015,3.58073729549423,2.9704144655697,5.39262704601878,1,0,0,Norte
1502707,Conceição do Araguaia,2000,PA,70.5,15.2,36.9,21.7,2.24,29.34,20.16,304.21,0.62,25.49,512,4.25561270981822,2.72129542785223,3.60821155104648,3.07731226054641,5.71771825239468,0,1,0,Norte
1502707,Conceição do Araguaia,2010,PA,71.2,18.3,39.2,20.9,30.01,23.4,19.29,405.29,0.54,16.36,0.64,4.26549281841793,2.90690105984738,3.66867674679642,3.03974915897077,6.00460286024821,0,0,1,Norte
1503606,Itaituba,1990,PA,63.05,14.9,34.5,19.6,0,52.88,14.6,263.77,0.58,19.81,0.58,4.14392806241093,2.70136121295141,3.54095932403731,2.97552956623647,5.57507751129926,1,0,0,Norte
1503606,Itaituba,2000,PA,66.46,12.2,34,21.8,3.08,39.45,6.3,315.66,0.63,26.81,489,4.19660026292645,2.50143595173921,3.52636052461616,3.08190996979504,5.75466568497077,0,1,0,Norte
1503606,Itaituba,2010,PA,72.97,11.4,35.3,23.9,36.06,17.29,28.04,440.6,0.57,18.85,0.64,4.29004839777753,2.43361335540045,3.56388296393925,3.17387845893747,6.08813743436824,0,0,1,Norte
1504208,Marabá,1990,PA,61.8,14.5,35.4,20.9,0,58.18,23.45,262.98,0.59,21.6,563,4.12390336446365,2.67414864942653,3.56671182013973,3.03974915897077,5.57207798365877,1,0,0,Norte
1504208,Marabá,2000,PA,65.08,11,34,23,53.22,36.05,23.71,380.81,0.62,26.18,536,4.17561728235084,2.39789527279837,3.52636052461616,3.13549421592915,5.94230056307661,0,1,0,Norte
1504208,Marabá,2010,PA,72.09,13.6,36.2,22.6,100.3,21.44,35.52,527.86,0.58,21,668,4.27791533841649,2.61006979274201,3.58905911883173,3.11794990627824,6.26883109703223,0,0,1,Norte
1504802,Monte Alegre,1990,PA,64.83,9.5,32.2,22.7,2.12,45.82,NA,149.37,0.51,13.29,504,4.1717684591869,2.2512917986065,3.47196645255036,3.12236492448736,5.0064264493222,1,0,0,Norte
1504802,Monte Alegre,2000,PA,70.92,9.9,32.7,22.8,1.75,28.88,3.32,181.61,0.6,24.01,467,4.26155248120601,2.29253475714054,3.48737507790321,3.1267605359604,5.20186153073041,0,1,0,Norte
1504802,Monte Alegre,2010,PA,70.86,10.6,34.1,23.5,3.52,24.4,21.12,231.65,0.59,25.34,589,4.26070609943733,2.36085400111802,3.52929738428947,3.15700042115011,5.44522761186266,0,0,1,Norte
1505106,Óbidos,1990,PA,62.49,11.2,32.9,21.7,7.09,55.22,2.36,157.66,0.51,13.98,502,4.13500654394099,2.41591377830105,3.49347265777133,3.07731226054641,5.06044081563176,1,0,0,Norte
1505106,Óbidos,2000,PA,69,11.4,32.9,21.5,0,35.37,8.73,162.15,0.54,16.81,452,4.23410650459726,2.43361335540045,3.49347265777133,3.06805293513362,5.08852183275333,0,1,0,Norte
1505106,Óbidos,2010,PA,70.35,11,34.7,23.7,7.92,25.8,15.65,255.03,0.59,22.12,594,4.2534827835604,2.39789527279837,3.54673968695281,3.16547504814109,5.54138118529738,0,0,1,Norte
